name,survived,gender,age
"Phillips, Mr. Escott Robert",no,male,43.0
"Pinsky, Mrs. (Rosa)",yes,female,32.0
"Ponesell, Mr. Martin",no,male,34.0
"Portaluppi, Mr. Emilio Ilario G",yes,male,30.0
"Pulbaum, Mr. Franz",no,male,27.0
"Quick, Miss. Phyllis May",yes,female,2.0
"Quick, Miss. Winifred Vera",yes,female,8.0
"Quick, Mrs. Frederick Charles (",yes,female,33.0
"Reeves, Mr. David",no,male,36.0
"Renouf, Mr. Peter Henry",no,male,34.0
"Renouf, Mrs. Peter Henry (Lilli",yes,female,30.0
"Reynaldo, Ms. Encarnacion",yes,female,28.0
"Richard, Mr. Emile",no,male,23.0
"Richards, Master. George Sibley",yes,male,0.833299994
"Richards, Master. William Rowe",yes,male,3.0
"Richards, Mrs. Sidney (Emily Ho",yes,female,24.0
"Ridsdale, Miss. Lucy",yes,female,50.0
"Rogers, Mr. Reginald Harry",no,male,19.0
"Rugg, Miss. Emily",yes,female,21.0
"Schmidt, Mr. August",no,male,26.0
"Sedgwick, Mr. Charles Frederick",no,male,25.0
"Sharp, Mr. Percival James R",no,male,27.0
"Shelley, Mrs. William (Imanita",yes,female,25.0
"Silven, Miss. Lyyli Karoliina",yes,female,18.0
"Sincock, Miss. Maude",yes,female,20.0
"Sinkkonen, Miss. Anna",yes,female,30.0
"Sjostedt, Mr. Ernst Adolf",no,male,59.0
"Slayter, Miss. Hilda Mary",yes,female,30.0
"Slemen, Mr. Richard James",no,male,35.0
"Smith, Miss. Marion Elsie",yes,female,40.0
"Sobey, Mr. Samuel James Hayden",no,male,25.0
"Stanton, Mr. Samuel Ward",no,male,41.0
"Stokes, Mr. Philip Joseph",no,male,25.0
"Swane, Mr. George",no,male,18.5
"Sweet, Mr. George Frederick",no,male,14.0
"Toomey, Miss. Ellen",yes,female,50.0
"Troupiansky, Mr. Moses Aaron",no,male,23.0
"Trout, Mrs. William H (Jessie L",yes,female,28.0
"Troutt, Miss. Edwina Celia Win",yes,female,27.0
"Turpin, Mr. William John Robert",no,male,29.0
"Turpin, Mrs. William John Rober",no,female,27.0
"Veal, Mr. James",no,male,40.0
"Walcroft, Miss. Nellie",yes,female,31.0
"Ware, Mr. John James",no,male,30.0
"Ware, Mr. William Jeffery",no,male,23.0
"Ware, Mrs. John James (Florence",yes,female,31.0
"Watson, Mr. Ennis Hastings",no,male,
"Watt, Miss. Bertha J",yes,female,12.0
"Watt, Mrs. James (Elizabeth Be",yes,female,40.0
"Webber, Miss. Susan",yes,female,32.5
"Weisz, Mr. Leopold",no,male,27.0
"Weisz, Mrs. Leopold (Mathilde F",yes,female,29.0
"Wells, Master. Ralph Lester",yes,male,2.0
"Wells, Miss. Joan",yes,female,4.0
"Wells, Mrs. Arthur Henry (Addi",yes,female,29.0
"West, Miss. Barbara J",yes,female,0.916700006
"West, Miss. Constance Mirium",yes,female,5.0
"West, Mr. Edwy Arthur",no,male,36.0
"West, Mrs. Edwy Arthur (Ada Mar",yes,female,33.0
"Wheadon, Mr. Edward H",no,male,66.0
"Wheeler, Mr. Edwin Frederick",no,male,
"Wilhelms, Mr. Charles",yes,male,31.0
"Williams, Mr. Charles Eugene",yes,male,
"Wright, Miss. Marion",yes,female,26.0
"Yrois, Miss. Henriette (Mrs Ha",no,female,24.0
"Abbing, Mr. Anthony",no,male,42.0
"Abbott, Master. Eugene Joseph",no,male,13.0
"Abbott, Mr. Rossmore Edward",no,male,16.0
"Abbott, Mrs. Stanton (Rosa Hunt",yes,female,35.0
"Abelseth, Miss. Karen Marie",yes,female,16.0
"Abelseth, Mr. Olaus Jorgensen",yes,male,25.0
"Abrahamsson, Mr. Abraham August",yes,male,20.0
"Abrahim, Mrs. Joseph (Sophie Ha",yes,female,18.0
"Adahl, Mr. Mauritz Nils Martin",no,male,30.0
"Adams, Mr. John",no,male,26.0
"Ahlin, Mrs. Johan (Johanna Pers",no,female,40.0
"Aks, Master. Philip Frank",yes,male,0.833299994
"Aks, Mrs. Sam (Leah Rosen)",yes,female,18.0
"Albimona, Mr. Nassef Cassem",yes,male,26.0
"Alexander, Mr. William",no,male,26.0
"Alhomaki, Mr. Ilmari Rudolf",no,male,20.0
"Ali, Mr. Ahmed",no,male,24.0
"Ali, Mr. William",no,male,25.0
"Allen, Mr. William Henry",no,male,35.0
"Allum, Mr. Owen George",no,male,18.0
"Andersen, Mr. Albert Karvin",no,male,32.0
"Andersen-Jensen, Miss. Carla Ch",yes,female,19.0
"Andersson, Master. Sigvard Hara",no,male,4.0
"Andersson, Miss. Ebba Iris Alfr",no,female,6.0
"Andersson, Miss. Ellis Anna Mar",no,female,2.0
"Andersson, Miss. Erna Alexandra",yes,female,17.0
"Andersson, Miss. Ida Augusta Ma",no,female,38.0
"Andersson, Miss. Ingeborg Const",no,female,9.0
"Andersson, Miss. Sigrid Elisabe",no,female,11.0
"Andersson, Mr. Anders Johan",no,male,39.0
"Andersson, Mr. August Edvard (",yes,male,27.0
"Andersson, Mr. Johan Samuel",no,male,26.0
"Andersson, Mrs. Anders Johan (A",no,female,39.0
"Andreasson, Mr. Paul Edvin",no,male,20.0
"Angheloff, Mr. Minko",no,male,26.0
"Arnold-Franchi, Mr. Josef",no,male,25.0
"Arnold-Franchi, Mrs. Josef (Jos",no,female,18.0
"Aronsson, Mr. Ernst Axel Algot",no,male,24.0
"Asim, Mr. Adola",no,male,35.0
"Asplund, Master. Carl Edgar",no,male,5.0
"Asplund, Master. Clarence Gusta",no,male,9.0
"Asplund, Master. Edvin Rojj Fel",yes,male,3.0
"Asplund, Master. Filip Oscar",no,male,13.0
"Asplund, Miss. Lillian Gertrud",yes,female,5.0
"Asplund, Mr. Carl Oscar Vilhelm",no,male,40.0
"Asplund, Mr. Johan Charles",yes,male,23.0
"Asplund, Mrs. Carl Oscar (Selma",yes,female,38.0
"Assaf Khalil, Mrs. Mariana (Mi",yes,female,45.0
"Assaf, Mr. Gerios",no,male,21.0
"Assam, Mr. Ali",no,male,23.0
"Attalah, Miss. Malake",no,female,17.0
"Attalah, Mr. Sleiman",no,male,30.0
"Augustsson, Mr. Albert",no,male,23.0
"Ayoub, Miss. Banoura",yes,female,13.0
"Baccos, Mr. Raffull",no,male,20.0
"Backstrom, Mr. Karl Alfred",no,male,32.0
"Backstrom, Mrs. Karl Alfred (Ma",yes,female,33.0
"Baclini, Miss. Eugenie",yes,female,0.75
"Baclini, Miss. Helene Barbara",yes,female,0.75
"Baclini, Miss. Marie Catherine",yes,female,5.0
"Baclini, Mrs. Solomon (Latifa Q",yes,female,24.0
"Badman, Miss. Emily Louisa",yes,female,18.0
"Badt, Mr. Mohamed",no,male,40.0
"Balkic, Mr. Cerin",no,male,26.0
"Barah, Mr. Hanna Assi",yes,male,20.0
"Barbara, Miss. Saiide",no,female,18.0
"Barbara, Mrs. (Catherine David)",no,female,45.0
"Barry, Miss. Julia",no,female,27.0
"Barton, Mr. David John",no,male,22.0
"Beavan, Mr. William Thomas",no,male,19.0
"Bengtsson, Mr. John Viktor",no,male,26.0
"Berglund, Mr. Karl Ivar Sven",no,male,22.0
"Betros, Master. Seman",no,male,
"Betros, Mr. Tannous",no,male,20.0
"Bing, Mr. Lee",yes,male,32.0
"Birkeland, Mr. Hans Martin Mons",no,male,21.0
"Bjorklund, Mr. Ernst Herbert",no,male,18.0
"Bostandyeff, Mr. Guentcho",no,male,26.0
"Boulos, Master. Akar",no,male,6.0
"Boulos, Miss. Nourelain",no,female,9.0
"Boulos, Mr. Hanna",no,male,
"Boulos, Mrs. Joseph (Sultana)",no,female,
"Bourke, Miss. Mary",no,female,
"Bourke, Mr. John",no,male,40.0
"Bourke, Mrs. John (Catherine)",no,female,32.0
"Bowen, Mr. David John Dai",no,male,21.0
"Bradley, Miss. Bridget Delia",yes,female,22.0
"Braf, Miss. Elin Ester Maria",no,female,20.0
"Braund, Mr. Lewis Richard",no,male,29.0
"Braund, Mr. Owen Harris",no,male,22.0
"Brobeck, Mr. Karl Rudolf",no,male,22.0
"Brocklebank, Mr. William Alfred",no,male,35.0
"Buckley, Miss. Katherine",no,female,18.5
"Buckley, Mr. Daniel",yes,male,21.0
"Burke, Mr. Jeremiah",no,male,19.0
"Burns, Miss. Mary Delia",no,female,18.0
"Cacic, Miss. Manda",no,female,21.0
"Cacic, Miss. Marija",no,female,30.0
"Cacic, Mr. Jego Grga",no,male,18.0
"Cacic, Mr. Luka",no,male,38.0
"Calic, Mr. Jovo",no,male,17.0
"Calic, Mr. Petar",no,male,17.0
"Canavan, Miss. Mary",no,female,21.0
"Canavan, Mr. Patrick",no,male,21.0
"Cann, Mr. Ernest Charles",no,male,21.0
"Caram, Mr. Joseph",no,male,
"Caram, Mrs. Joseph (Maria Elias",no,female,
"Carlsson, Mr. August Sigfrid",no,male,28.0
"Carlsson, Mr. Carl Robert",no,male,24.0
"Carr, Miss. Helen Ellen",yes,female,16.0
"Carr, Miss. Jeannie",no,female,37.0
"Carver, Mr. Alfred John",no,male,28.0
"Celotti, Mr. Francesco",no,male,24.0
"Charters, Mr. David",no,male,21.0
"Chip, Mr. Chang",yes,male,32.0
"Christmann, Mr. Emil",no,male,29.0
"Chronopoulos, Mr. Apostolos",no,male,26.0
"Chronopoulos, Mr. Demetrios",no,male,18.0
"Coelho, Mr. Domingos Fernandeo",no,male,20.0
"Cohen, Mr. Gurshon Gus",yes,male,18.0
"Colbert, Mr. Patrick",no,male,24.0
"Coleff, Mr. Peju",no,male,36.0
"Coleff, Mr. Satio",no,male,24.0
"Conlon, Mr. Thomas Henry",no,male,31.0
"Connaghton, Mr. Michael",no,male,31.0
"Connolly, Miss. Kate (A)",yes,female,22.0
"Connolly, Miss. Kate (B)",no,female,30.0
"Connors, Mr. Patrick",no,male,70.5
"Cook, Mr. Jacob",no,male,43.0
"Cor, Mr. Bartol",no,male,35.0
"Cor, Mr. Ivan",no,male,27.0
"Cor, Mr. Liudevit",no,male,19.0
"Corn, Mr. Harry",no,male,30.0
"Coutts, Master. Eden Leslie Ne",yes,male,9.0
"Coutts, Master. William Loch W",yes,male,3.0
"Coutts, Mrs. William (Winnie M",yes,female,36.0
"Coxon, Mr. Daniel",no,male,59.0
"Crease, Mr. Ernest James",no,male,19.0
"Cribb, Miss. Laura Alice",yes,female,17.0
"Cribb, Mr. John Hatfield",no,male,44.0
"Culumovic, Mr. Jeso",no,male,17.0
"Daher, Mr. Shedid",no,male,22.5
"Dahl, Mr. Karl Edwart",yes,male,45.0
"Dahlberg, Miss. Gerda Ulrika",no,female,22.0
"Dakic, Mr. Branko",no,male,19.0
"Daly, Miss. Margaret Marcella ",yes,female,30.0
"Daly, Mr. Eugene Patrick",yes,male,29.0
"Danbom, Master. Gilbert Sigvard",no,male,0.333299994
"Danbom, Mr. Ernst Gilbert",no,male,34.0
"Danbom, Mrs. Ernst Gilbert (Ann",no,female,28.0
"Danoff, Mr. Yoto",no,male,27.0
"Dantcheff, Mr. Ristiu",no,male,25.0
"Davies, Mr. Alfred J",no,male,24.0
"Davies, Mr. Evan",no,male,22.0
"Davies, Mr. John Samuel",no,male,21.0
"Davies, Mr. Joseph",no,male,17.0
"Davison, Mr. Thomas Henry",no,male,
"Davison, Mrs. Thomas Henry (Mar",yes,female,
"de Messemaeker, Mr. Guillaume J",yes,male,36.5
"de Messemaeker, Mrs. Guillaume",yes,female,36.0
"de Mulder, Mr. Theodore",yes,male,30.0
"de Pelsmaeker, Mr. Alfons",no,male,16.0
"Dean, Master. Bertram Vere",yes,male,1.0
"Dean, Miss. Elizabeth Gladys M",yes,female,0.166700006
"Dean, Mr. Bertram Frank",no,male,26.0
"Dean, Mrs. Bertram (Eva Georget",yes,female,33.0
"Delalic, Mr. Redjo",no,male,25.0
"Demetri, Mr. Marinko",no,male,
"Denkoff, Mr. Mitto",no,male,
"Dennis, Mr. Samuel",no,male,22.0
"Dennis, Mr. William",no,male,36.0
"Devaney, Miss. Margaret Delia",yes,female,19.0
"Dika, Mr. Mirko",no,male,17.0
"Dimic, Mr. Jovan",no,male,42.0
"Dintcheff, Mr. Valtcho",no,male,43.0
"Doharr, Mr. Tannous",no,male,
"Dooley, Mr. Patrick",no,male,32.0
"Dorking, Mr. Edward Arthur",yes,male,19.0
"Dowdell, Miss. Elizabeth",yes,female,30.0
"Doyle, Miss. Elizabeth",no,female,24.0
"Drapkin, Miss. Jennie",yes,female,23.0
"Drazenoic, Mr. Jozef",no,male,33.0
"Duane, Mr. Frank",no,male,65.0
"Duquemin, Mr. Joseph",yes,male,24.0
"Dyker, Mr. Adolf Fredrik",no,male,23.0
"Dyker, Mrs. Adolf Fredrik (Anna",yes,female,22.0
"Edvardsson, Mr. Gustaf Hjalmar",no,male,18.0
"Eklund, Mr. Hans Linus",no,male,16.0
"Ekstrom, Mr. Johan",no,male,45.0
"Elias, Mr. Dibo",no,male,
"Elias, Mr. Joseph",no,male,39.0
"Elias, Mr. Joseph Jr",no,male,17.0
"Elias, Mr. Tannous",no,male,15.0
"Elsbury, Mr. William James",no,male,47.0
"Emanuel, Miss. Virginia Ethel",yes,female,5.0
"Emir, Mr. Farred Chehab",no,male,
"Everett, Mr. Thomas James",no,male,40.5
"Farrell, Mr. James",no,male,40.5
"Finoli, Mr. Luigi",yes,male,
"Fischer, Mr. Eberhard Thelander",no,male,18.0
"Fleming, Miss. Honora",no,female,
"Flynn, Mr. James",no,male,
"Flynn, Mr. John",no,male,
"Foley, Mr. Joseph",no,male,26.0
"Foley, Mr. William",no,male,
"Foo, Mr. Choong",yes,male,
"Ford, Miss. Doolina Margaret D",no,female,21.0
"Ford, Miss. Robina Maggie Ruby",no,female,9.0
"Ford, Mr. Arthur",no,male,
"Ford, Mr. Edward Watson",no,male,18.0
"Ford, Mr. William Neal",no,male,16.0
"Ford, Mrs. Edward (Margaret Ann",no,female,48.0
"Fox, Mr. Patrick",no,male,
"Franklin, Mr. Charles (Charles",no,male,
"Gallagher, Mr. Martin",no,male,25.0
"Garfirth, Mr. John",no,male,
"Gheorgheff, Mr. Stanio",no,male,
"Gilinski, Mr. Eliezer",no,male,22.0
"Gilnagh, Miss. Katherine Katie",yes,female,16.0
"Glynn, Miss. Mary Agatha",yes,female,
"Goldsmith, Master. Frank John W",yes,male,9.0
"Goldsmith, Mr. Frank John",no,male,33.0
"Goldsmith, Mr. Nathan",no,male,41.0
"Goldsmith, Mrs. Frank John (Emi",yes,female,31.0
"Goncalves, Mr. Manuel Estanslas",no,male,38.0
"Goodwin, Master. Harold Victor",no,male,9.0
"Goodwin, Master. Sidney Leonard",no,male,1.0
"Goodwin, Master. William Freder",no,male,11.0
"Goodwin, Miss. Jessie Allis",no,female,10.0
"Goodwin, Miss. Lillian Amy",no,female,16.0
"Goodwin, Mr. Charles Edward",no,male,14.0
"Goodwin, Mr. Charles Frederick",no,male,40.0
"Goodwin, Mrs. Frederick (August",no,female,43.0
"Green, Mr. George Henry",no,male,51.0
"Gronnestad, Mr. Daniel Danielse",no,male,32.0
"Guest, Mr. Robert",no,male,
"Gustafsson, Mr. Alfred Ossian",no,male,20.0
"Gustafsson, Mr. Anders Vilhelm",no,male,37.0
"Gustafsson, Mr. Johan Birger",no,male,28.0
"Gustafsson, Mr. Karl Gideon",no,male,19.0
"Haas, Miss. Aloisia",no,female,24.0
"Hagardon, Miss. Kate",no,female,17.0
"Hagland, Mr. Ingvald Olai Olsen",no,male,
"Hagland, Mr. Konrad Mathias Rei",no,male,
"Hakkarainen, Mr. Pekka Pietari",no,male,28.0
"Hakkarainen, Mrs. Pekka Pietari",yes,female,24.0
"Hampe, Mr. Leon",no,male,20.0
"Hanna, Mr. Mansour",no,male,23.5
"Hansen, Mr. Claus Peter",no,male,41.0
"Hansen, Mr. Henrik Juul",no,male,26.0
"Hansen, Mr. Henry Damsgaard",no,male,21.0
"Hansen, Mrs. Claus Peter (Jenni",yes,female,45.0
"Harknett, Miss. Alice Phoebe",no,female,
"Harmer, Mr. Abraham (David Lish",no,male,25.0
"Hart, Mr. Henry",no,male,
"Hassan, Mr. Houssein G N",no,male,11.0
"Healy, Miss. Hanora Nora",yes,female,
"Hedman, Mr. Oskar Arvid",yes,male,27.0
"Hee, Mr. Ling",yes,male,
"Hegarty, Miss. Hanora Nora",no,female,18.0
"Heikkinen, Miss. Laina",yes,female,26.0
"Heininen, Miss. Wendla Maria",no,female,23.0
"Hellstrom, Miss. Hilda Maria",yes,female,22.0
"Hendekovic, Mr. Ignjac",no,male,28.0
"Henriksson, Miss. Jenny Lovisa",no,female,28.0
"Henry, Miss. Delia",no,female,
"Hirvonen, Miss. Hildur E",yes,female,2.0
"Hirvonen, Mrs. Alexander (Helga",yes,female,22.0
"Holm, Mr. John Fredrik Alexande",no,male,43.0
"Holthen, Mr. Johan Martin",no,male,28.0
"Honkanen, Miss. Eliina",yes,female,27.0
"Horgan, Mr. John",no,male,
"Howard, Miss. May Elizabeth",yes,female,
"Humblen, Mr. Adolf Mathias Nico",no,male,42.0
"Hyman, Mr. Abraham",yes,male,
"Ibrahim Shawah, Mr. Yousseff",no,male,30.0
"Ilieff, Mr. Ylio",no,male,
"Ilmakangas, Miss. Ida Livija",no,female,27.0
"Ilmakangas, Miss. Pieta Sofia",no,female,25.0
"Ivanoff, Mr. Kanio",no,male,
"Jalsevac, Mr. Ivan",yes,male,29.0
"Jansson, Mr. Carl Olof",yes,male,21.0
"Jardin, Mr. Jose Neto",no,male,
"Jensen, Mr. Hans Peder",no,male,20.0
"Jensen, Mr. Niels Peder",no,male,48.0
"Jensen, Mr. Svend Lauritz",no,male,17.0
"Jermyn, Miss. Annie",yes,female,
"Johannesen-Bratthammer, Mr. Ber",yes,male,
"Johanson, Mr. Jakob Alfred",no,male,34.0
"Johansson Palmquist, Mr. Oskar",yes,male,26.0
"Johansson, Mr. Erik",no,male,22.0
"Johansson, Mr. Gustaf Joel",no,male,33.0
"Johansson, Mr. Karl Johan",no,male,31.0
"Johansson, Mr. Nils",no,male,29.0
"Johnson, Master. Harold Theodor",yes,male,4.0
"Johnson, Miss. Eleanor Ileen",yes,female,1.0
"Johnson, Mr. Alfred",no,male,49.0
"Johnson, Mr. Malkolm Joackim",no,male,33.0
"Johnson, Mr. William Cahoone Jr",no,male,19.0
"Johnson, Mrs. Oscar W (Elisabet",yes,female,27.0
"Johnston, Master. William Arthu",no,male,
"Johnston, Miss. Catherine Helen",no,female,
"Johnston, Mr. Andrew G",no,male,
"Johnston, Mrs. Andrew G (Elizab",no,female,
"Jonkoff, Mr. Lalio",no,male,23.0
"Jonsson, Mr. Carl",yes,male,32.0
"Jonsson, Mr. Nils Hilding",no,male,27.0
"Jussila, Miss. Katriina",no,female,20.0
"Jussila, Miss. Mari Aina",no,female,21.0
"Jussila, Mr. Eiriik",yes,male,32.0
"Kallio, Mr. Nikolai Erland",no,male,17.0
"Kalvik, Mr. Johannes Halvorsen",no,male,21.0
"Karaic, Mr. Milan",no,male,30.0
"Karlsson, Mr. Einar Gervasius",yes,male,21.0
"Karlsson, Mr. Julius Konrad Eug",no,male,33.0
"Karlsson, Mr. Nils August",no,male,22.0
"Karun, Miss. Manca",yes,female,4.0
"Karun, Mr. Franz",yes,male,39.0
"Kassem, Mr. Fared",no,male,
"Katavelas, Mr. Vassilios (Cata",no,male,18.5
"Keane, Mr. Andrew Andy",no,male,
"Keefe, Mr. Arthur",no,male,
"Kelly, Miss. Anna Katherine An",yes,female,
"Kelly, Miss. Mary",yes,female,
"Kelly, Mr. James (A)",no,male,34.5
"Kelly, Mr. James (B)",no,male,44.0
"Kennedy, Mr. John",yes,male,
"Khalil, Mr. Betros",no,male,
"Khalil, Mrs. Betros (Zahie Mar",no,female,
"Kiernan, Mr. John",no,male,
"Kiernan, Mr. Philip",no,male,
"Kilgannon, Mr. Thomas J",no,male,
"Kink, Miss. Maria",no,female,22.0
"Kink, Mr. Vincenz",no,male,26.0
"Kink-Heilmann, Miss. Luise Gret",yes,female,4.0
"Kink-Heilmann, Mr. Anton",yes,male,29.0
"Kink-Heilmann, Mrs. Anton (Luis",yes,female,26.0
"Klasen, Miss. Gertrud Emilia",no,female,1.0
"Klasen, Mr. Klas Albin",no,male,18.0
"Klasen, Mrs. (Hulda Kristina Eu",no,female,36.0
"Kraeff, Mr. Theodor",no,male,
"Krekorian, Mr. Neshan",yes,male,25.0
"Lahoud, Mr. Sarkis",no,male,
"Laitinen, Miss. Kristina Sofia",no,female,37.0
"Laleff, Mr. Kristo",no,male,
"Lam, Mr. Ali",yes,male,
"Lam, Mr. Len",no,male,
"Landergren, Miss. Aurora Adelia",yes,female,22.0
"Lane, Mr. Patrick",no,male,
"Lang, Mr. Fang",yes,male,26.0
"Larsson, Mr. August Viktor",no,male,29.0
"Larsson, Mr. Bengt Edvin",no,male,29.0
"Larsson-Rondberg, Mr. Edvard A",no,male,22.0
"Leeni, Mr. Fahim (Philip Zenni",yes,male,22.0
"Lefebre, Master. Henry Forbes",no,male,
"Lefebre, Miss. Ida",no,female,
"Lefebre, Miss. Jeannie",no,female,
"Lefebre, Miss. Mathilde",no,female,
"Lefebre, Mrs. Frank (Frances)",no,female,
"Leinonen, Mr. Antti Gustaf",no,male,32.0
"Lemberopolous, Mr. Peter L",no,male,34.5
"Lennon, Miss. Mary",no,female,
"Lennon, Mr. Denis",no,male,
"Leonard, Mr. Lionel",no,male,36.0
"Lester, Mr. James",no,male,39.0
"Lievens, Mr. Rene Aime",no,male,24.0
"Lindahl, Miss. Agda Thorilda Vi",no,female,25.0
"Lindblom, Miss. Augusta Charlot",no,female,45.0
"Lindell, Mr. Edvard Bengtsson",no,male,36.0
"Lindell, Mrs. Edvard Bengtsson",no,female,30.0
"Lindqvist, Mr. Eino William",yes,male,20.0
"Linehan, Mr. Michael",no,male,
"Ling, Mr. Lee",no,male,28.0
"Lithman, Mr. Simon",no,male,
"Lobb, Mr. William Arthur",no,male,30.0
"Lobb, Mrs. William Arthur (Cord",no,female,26.0
"Lockyer, Mr. Edward",no,male,
"Lovell, Mr. John Hall (Henry)",no,male,20.5
"Lulic, Mr. Nikola",yes,male,27.0
"Lundahl, Mr. Johan Svensson",no,male,51.0
"Lundin, Miss. Olga Elida",yes,female,23.0
"Lundstrom, Mr. Thure Edvin",yes,male,32.0
"Lyntakoff, Mr. Stanko",no,male,
"MacKay, Mr. George William",no,male,
"Madigan, Miss. Margaret Maggie",yes,female,
"Madsen, Mr. Fridtjof Arne",yes,male,24.0
"Maenpaa, Mr. Matti Alexanteri",no,male,22.0
"Mahon, Miss. Bridget Delia",no,female,
"Mahon, Mr. John",no,male,
"Maisner, Mr. Simon",no,male,
"Makinen, Mr. Kalle Edvard",no,male,29.0
"Mamee, Mr. Hanna",yes,male,
"Mangan, Miss. Mary",no,female,30.5
"Mannion, Miss. Margareth",yes,female,
"Mardirosian, Mr. Sarkis",no,male,
"Markoff, Mr. Marin",no,male,35.0
"Markun, Mr. Johann",no,male,33.0
"Masselmani, Mrs. Fatima",yes,female,
"Matinoff, Mr. Nicola",no,male,
"McCarthy, Miss. Catherine Kati",yes,female,
"McCormack, Mr. Thomas Joseph",yes,male,
"McCoy, Miss. Agnes",yes,female,
"McCoy, Miss. Alicia",yes,female,
"McCoy, Mr. Bernard",yes,male,
"McDermott, Miss. Brigdet Delia",yes,female,
"McEvoy, Mr. Michael",no,male,
"McGovern, Miss. Mary",yes,female,
"McGowan, Miss. Anna Annie",yes,female,15.0
"McGowan, Miss. Katherine",no,female,35.0
"McMahon, Mr. Martin",no,male,
"McNamee, Mr. Neal",no,male,24.0
"McNamee, Mrs. Neal (Eileen O'Le",no,female,19.0
"McNeill, Miss. Bridget",no,female,
"Meanwell, Miss. (Marion Ogden)",no,female,
"Meek, Mrs. Thomas (Annie Louise",no,female,
"Meo, Mr. Alfonzo",no,male,55.5
"Mernagh, Mr. Robert",no,male,
"Midtsjo, Mr. Karl Albert",yes,male,21.0
"Miles, Mr. Frank",no,male,
"Mineff, Mr. Ivan",no,male,24.0
"Minkoff, Mr. Lazar",no,male,21.0
"Mionoff, Mr. Stoytcho",no,male,28.0
"Mitkoff, Mr. Mito",no,male,
"Mockler, Miss. Helen Mary Elli",yes,female,
"Moen, Mr. Sigurd Hansen",no,male,25.0
"Moor, Master. Meier",yes,male,6.0
"Moor, Mrs. (Beila)",yes,female,27.0
"Moore, Mr. Leonard Charles",no,male,
"Moran, Miss. Bertha",yes,female,
"Moran, Mr. Daniel J",no,male,
"Moran, Mr. James",no,male,
"Morley, Mr. William",no,male,34.0
"Morrow, Mr. Thomas Rowan",no,male,
"Moss, Mr. Albert Johan",yes,male,
"Moubarek, Master. Gerios",yes,male,
"Moubarek, Master. Halim Gonios",yes,male,
"Moubarek, Mrs. George (Omine A",yes,female,
"Moussa, Mrs. (Mantoura Boulos)",yes,female,
"Moutal, Mr. Rahamin Haim",no,male,
"Mullens, Miss. Katherine Katie",yes,female,
"Mulvihill, Miss. Bertha E",yes,female,24.0
"Murdlin, Mr. Joseph",no,male,
"Murphy, Miss. Katherine Kate",yes,female,
"Murphy, Miss. Margaret Jane",yes,female,
"Murphy, Miss. Nora",yes,female,
"Myhrman, Mr. Pehr Fabian Oliver",no,male,18.0
"Naidenoff, Mr. Penko",no,male,22.0
"Najib, Miss. Adele Kiamie Jane",yes,female,15.0
"Nakid, Miss. Maria (Mary)",yes,female,1.0
"Nakid, Mr. Sahid",yes,male,20.0
"Nakid, Mrs. Said (Waika Mary",yes,female,19.0
"Nancarrow, Mr. William Henry",no,male,33.0
"Nankoff, Mr. Minko",no,male,
"Nasr, Mr. Mustafa",no,male,
"Naughton, Miss. Hannah",no,female,
"Nenkoff, Mr. Christo",no,male,
"Nicola-Yarred, Master. Elias",yes,male,12.0
"Nicola-Yarred, Miss. Jamila",yes,female,14.0
"Nieminen, Miss. Manta Josefina",no,female,29.0
"Niklasson, Mr. Samuel",no,male,28.0
"Nilsson, Miss. Berta Olivia",yes,female,18.0
"Nilsson, Miss. Helmina Josefina",yes,female,26.0
"Nilsson, Mr. August Ferdinand",no,male,21.0
"Nirva, Mr. Iisakki Antino Aijo",no,male,41.0
"Niskanen, Mr. Juha",yes,male,39.0
"Nosworthy, Mr. Richard Cater",no,male,21.0
"Novel, Mr. Mansouer",no,male,28.5
"Nysten, Miss. Anna Sofia",yes,female,22.0
"Nysveen, Mr. Johan Hansen",no,male,61.0
"O'Brien, Mr. Thomas",no,male,
"O'Brien, Mr. Timothy",no,male,
"O'Brien, Mrs. Thomas (Johanna ",yes,female,
"O'Connell, Mr. Patrick D",no,male,
"O'Connor, Mr. Maurice",no,male,
"O'Connor, Mr. Patrick",no,male,
"Odahl, Mr. Nils Martin",no,male,23.0
"O'Donoghue, Ms. Bridget",no,female,
"O'Driscoll, Miss. Bridget",yes,female,
"O'Dwyer, Miss. Ellen Nellie",yes,female,
"Ohman, Miss. Velin",yes,female,22.0
"O'Keefe, Mr. Patrick",yes,male,
"O'Leary, Miss. Hanora Norah",yes,female,
"Olsen, Master. Artur Karl",yes,male,9.0
"Olsen, Mr. Henry Margido",no,male,28.0
"Olsen, Mr. Karl Siegwart Andrea",no,male,42.0
"Olsen, Mr. Ole Martin",no,male,
"Olsson, Miss. Elina",no,female,31.0
"Olsson, Mr. Nils Johan Goransso",no,male,28.0
"Olsson, Mr. Oscar Wilhelm",yes,male,32.0
"Olsvigen, Mr. Thor Anderson",no,male,20.0
"Oreskovic, Miss. Jelka",no,female,23.0
"Oreskovic, Miss. Marija",no,female,20.0
"Oreskovic, Mr. Luka",no,male,20.0
"Osen, Mr. Olaf Elon",no,male,16.0
"Osman, Mrs. Mara",yes,female,31.0
"O'Sullivan, Miss. Bridget Mary",no,female,
"Palsson, Master. Gosta Leonard",no,male,2.0
"Palsson, Master. Paul Folke",no,male,6.0
